Site Name,Altitude (metres),EU Site ID,Easting,Environment Type,Government Region,Latitude,Longitude,Northing,Site Address,Site Code,UK-AIR ID
Stanford-le-Hope Roadside, 18, GB0924A,569358, Urban Traffic, Eastern,51.518167,0.439548,182737,   Stanford-le-Hope ,HOPE, UKA00525
Stewartby,38, GB0917A,502146, Urban Industrial, Eastern,52.071944,-0.511111,242554,   Stewartby ,STEW, UKA00512
Stockport,62, GB0648A,389581, Urban Background, North West & Merseyside,53.40994,-2.1582,390359,   Stockport ,STOC, UKA00307
Stockport Shaw Heath,72, GB0775A,389386, Urban Background, North West & Merseyside,53.40306,-2.161111,389594,   Stockport ,STK4, UKA00448
Stockton-on-Tees A1305 Roadside, 15, GB1041A,444331, Urban Traffic, North East,54.565819,-1.3159,519170, Sydney Street  Stockton-on-Tees TS18 1NP,SOTR, UKA00599
Stockton-on-Tees Eaglescliffe, 29, GB0956A,441623, Urban Traffic, North East,54.516667,-1.358547,513674,   Stockton-on-Tees ,EAGL, UKA00535
Stockton-on-Tees Yarm,8, GB0734A,441905, Urban Traffic, North East,54.50918,-1.354319,512844,   Stockton-on-Tees ,YARM, UKA00422
Stoke-on-Trent A50 Roadside, 179, GB1052A,392584, Urban Traffic, West Midlands,52.980436,-2.111898,342572, Railway Road  Stoke-on-Trent ,STKR, UKA00610
Stoke-on-Trent Centre, 172, GB0658A,388351, Urban Background, West Midlands,53.02821,-2.175133,347895,   Stoke-on-Trent ,STOK, UKA00337
Storrington Roadside, 41, GB1006A,509086, Urban Traffic, South East,50.916932,-0.449548,114197,   Storrington RH20 4BN,STOR, UKA00548
Strathvaich, 270, GB0015R,234787, Rural Background, Highland,57.734456,-4.776583,875023,   Strath Vaich ,SV, UKA00162
Sunderland,33, GB0582A,439847, Urban Background, North East,54.906106,-1.380081,556997,   Sunderland ,SUND, UKA00219
Sunderland Silksworth, 110, GB0863A,438150, Urban Background, North East,54.88361,-1.406878,554479,   Sunderland ,SUN2, UKA00484
Sunderland Wessington Way, 29, GB1043A,438020, Urban Traffic, North East,54.91839,-1.408391,558348,   Sunderland ,SUNR, UKA00601
Sutton Roadside,40, GB0623A,526602, Urban Traffic, Greater London,51.36636,-0.182789,164600,   Sutton ,SUT1, UKA00256
Swansea,26, GB0609A,265565, Urban Background, South Wales,51.62114,-3.943329,193158,   Swansea ,SWAN, UKA00240
Swansea Roadside, 61, GB0896A,265319, Urban Traffic, South Wales,51.632696,-3.947374,194451,   Swansea ,SWA1, UKA00497
Thurrock, 8, GB0645A,561069, Urban Background, Eastern,51.47707,0.317969,177893,   London ,THUR, UKA00272
Tower Hamlets Roadside, 20, GB0624A,535927, Urban Traffic, Greater London,51.52253,-0.042155,182218,   London ,TH2, UKA00257
Walsall Alumwell,20, GB0455A,399387, Urban Background, West Midlands,52.58167,-2.010483,298207,   Walsall ,WAL, UKA00161
Walsall Willenhall,148, GB0674A,397853, Urban Background, West Midlands,52.60821,-2.033144,301159,   Walsall  ,WAL2, UKA00344
Walsall Woodlands, 149, GB1020A,398030, Urban Background, West Midlands,52.605621,-2.030523,300871,    WV12 5NZ,WAL4, UKA00565
Warrington, 11, GB0958A,359172, Urban Industrial, North West & Merseyside,53.38928,-2.615358,388226, Not available,WAR, UKA00538
West London,20, GB0420A,525031, Urban Background, Greater London,51.4938,-0.200361,178741,   London ,WL, UKA00155
Weybourne, 16, GB0745A,609834, Rural Background, Eastern,52.95049,1.122017,343796,   Weybourne ,WEYB, UKA00433
Wharleycroft,206, GB0041R,369815, Rural Background, North West & Merseyside,54.616238,-2.468931,524666,   Wharleycroft ,WC, UKA00072
Wicken Fen, 5, GB0045R,556316, Rural Background, Eastern,52.2985,0.290917,269179,   Wicken Fen ,WFEN, UKA00362
Widnes Milton Road, 13, GB1045A,351409, Urban Traffic, North West & Merseyside,53.365391,-2.73168,385641, Milton Road Widnes  WA8 6NL,WSMR, UKA00603
Wigan Centre, 45, GB0864A,357816, Urban Background, North West & Merseyside,53.54914,-2.638139,406024,   Wigan ,WIG5, UKA00482
Wigan Leigh,30, GB0736A,366468, Urban Background, North West & Merseyside,53.49422,-2.506899,399844,   Wigan Leigh ,WIG3, UKA00423
Wirral Tranmere, 38, GB0730A,332054, Urban Background, North West & Merseyside,53.37287,-3.022722,386711,   Liverpool ,TRAN, UKA00406
Wolverhampton Centre,140, GB0614A,391357, Urban Background, West Midlands,52.58818,-2.129008,298939,   Wolverhampton ,WOLV, UKA00249
Worthing A27 Roadside, 14, GB1069A,514185, Urban Traffic, South East,50.832947,-0.379916,104963, Not available,WTHG, UKA00628
Wrexham, 70, GB0755A,332865, Urban Traffic, North Wales,53.04222,-3.002778,349909,   Wrexham ,WREX, UKA00440
Yarner Wood, 119, GB0013R,278611, Rural Background, South West,50.5976,-3.71651,78949,   Yarner Wood ,YW, UKA00168
York Bootham, 15, GB0918A,460024, Urban Background, Yorkshire & Humberside,53.967513,-1.086514,452768,   York ,YK10, UKA00523
York Fishergate, 16, GB0919A,460745, Urban Traffic, Yorkshire & Humberside,53.951889,-1.075861,451039,   York ,YK11, UKA00524
